Voltage (V),Current (A)
-0.5998859999999999,0.0
-0.590007,0.0
-0.580127,0.0
-0.570248,0.0
-0.560368,0.0
-0.550488,0.0
-0.540609,0.005599978
-0.530729,0.0
-0.5208499999999999,0.0
-0.5109699999999999,0.0
-0.501091,0.0
-0.49121099999999995,0.0
-0.481332,0.0
-0.471452,0.0
-0.461572,0.0
-0.45169299999999996,0.0
-0.44181299999999996,-0.000699994
-0.431934,0.008399961000000001
-0.422054,0.08049964000000001
-0.41217499999999996,0.122149
-0.40229499999999996,0.087499608
-0.39241499999999996,0.031527862000000004
-0.382536,-0.0025199890000000003
-0.372656,-0.003023988
-0.36277699999999996,-0.003583984
-0.35289699999999996,-0.0042559830000000005
-0.343018,-0.0049839770000000005
-0.333138,-0.005935973000000001
-0.32325899999999996,-0.007111967
-0.31337899999999996,-0.00907196
-0.30349899999999996,-0.011535952
-0.29362,0.033935852
-0.28374,0.101023
-0.27386099999999997,0.176455
-0.26398099999999997,0.223607
-0.254102,0.176343
-0.244222,0.111943
-0.234343,0.052695768000000004
-0.224463,-0.004367979
-0.214583,-0.00481598
-0.204704,-0.004311981
-0.194824,-0.004479978
-0.184945,-0.00453598
-0.175065,-0.004647979
-0.165186,-0.00509598
-0.155306,0.008399964000000001
-0.145427,0.07324768000000001
-0.135547,0.074311664
-0.125667,0.07274368
-0.11578799999999999,0.008007958
-0.105908,0.051127772
-0.096029296,0.06025574
-0.086149736,0.073135672
-0.07627017600000001,0.044911804
-0.06639062800000001,-0.002575987
-0.056511068000000005,-0.002631992
-0.046631512,-0.003079982
-0.036751952000000004,-0.0035279860000000003
-0.026872396000000003,-0.003751985
-0.016992840000000002,-0.004591981
-0.007113281000000001,0.03617584
0.0027662760000000002,0.070279688
0.012645833,0.07274367200000001
0.022525390000000003,0.048047792000000006
0.032404948,-0.004815987
0.042284504,-0.006159964
0.052164064,0.045583792000000005
0.06204362,0.07369568
0.071923176,0.084895624
0.081802736,0.064343712
0.09168229600000001,0.007279964000000001
0.101561,-0.0029119880000000003
0.111441,-0.0035279860000000003
0.12132,-0.004087979
0.13119999999999998,0.002071992
0.14107999999999998,0.073695672
0.15095899999999998,0.07996764
0.16083899999999998,0.083831632
0.17071799999999998,0.023407904
0.18059799999999998,-0.00425598
0.19047699999999998,-0.005487976
0.20035699999999998,-0.007839957
0.21023599999999998,0.02900787
0.22011599999999998,0.073919672
0.22999599999999998,0.08164763200000001
0.23987499999999998,0.07537566400000001
0.24975499999999998,0.012543942
0.259634,-0.004535976000000001
0.269514,-0.007391967
0.279393,0.031527858
0.289273,0.08282363200000001
0.299152,0.08254364
0.309032,0.061655736
0.318912,-0.002576001
0.328791,-0.0029119880000000003
0.338671,-0.0035279860000000003
0.34854999999999997,-0.0041999820000000005
0.35842999999999997,-0.004983981
0.368309,0.012599947
0.378189,0.05975173600000001
0.38806799999999997,0.060255732000000006
0.39794799999999997,0.061767732000000006
0.40782799999999997,0.015175934
0.417707,-0.005431971000000001
0.427587,0.044463800000000005
0.43746599999999997,0.055831752000000005
0.44734599999999997,0.058463744000000005
0.457225,0.02531189
0.467105,-0.002071992
0.47698399999999996,-0.002183988
0.48686399999999996,-0.002631992
0.49674399999999996,-0.0031359870000000002
